,zipcode,Population,No_Married(%),Widowed(%),Divorced(%),Separated(%),Never_Married(%),No_Married,Widowed,Divorced,Separated,Never_Married,Number_Households,Precent_Distribution_Housesholds,Median_Income_Households
347,98621,366,57.1,13.7,12.6,0.8,15.8,20898.6,5014.2,4611.6,292.8,5782.8,190,190,41250
348,98624,1371,55.4,8.8,11.2,3.2,21.4,75953.4,12064.8,15355.2,4387.2,29339.4,716,716,38269
349,98625,5536,58.1,6.2,10.2,2.8,22.7,321641.6,34323.2,56467.2,15500.8,125667.2,2502,2502,71410
350,98626,19318,49.5,6.6,13.8,2.3,27.8,956241.0,127498.8,266588.4,44431.4,537040.4,9315,9315,49632
351,98628,321,49.2,7.2,15.9,0.9,26.8,15793.2,2311.2,5103.9,288.9,8602.8,143,143,33625
352,98629,6146,67.7,4.7,8.4,0.7,18.5,416084.2,28886.2,51626.4,4302.2,113701.0,2730,2730,85722
353,98631,3181,51.6,6.8,17.0,1.0,23.6,164139.6,21630.8,54077.0,3181.0,75071.6,1734,1734,36369
354,98632,40364,47.9,7.3,15.1,2.7,26.9,1933435.6,294657.2,609496.4,108982.8,1085791.6,20148,20148,42144
355,98635,1565,45.6,15.4,17.3,0.0,21.7,71364.0,24101.0,27074.5,0.0,33960.5,753,753,45711
356,98638,1104,48.1,12.0,10.1,1.2,28.7,53102.4,13248.0,11150.4,1324.8,31684.8,516,516,56667
357,98639,948,49.4,6.9,14.8,0.0,29.0,46831.2,6541.2,14030.4,0.0,27492.0,476,476,56875
358,98640,4038,59.0,6.8,19.5,2.2,12.5,238242.0,27458.4,78741.0,8883.6,50475.0,1964,1964,33724
359,98641,20,100.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,9,9,0
360,98642,15172,63.4,3.0,8.9,1.2,23.5,961904.8,45516.0,135030.8,18206.4,356542.0,6700,6700,93360
361,98643,354,62.1,11.6,12.4,0.0,13.8,21983.4,4106.4,4389.6,0.0,4885.2,187,187,64438
362,98644,186,45.7,9.7,13.4,10.2,21.0,8500.2,1804.2,2492.4,1897.2,3906.0,111,111,29934
363,98645,1030,59.3,7.3,8.9,2.3,22.1,61079.0,7519.0,9167.0,2369.0,22763.0,464,464,60000
364,98647,271,59.0,0.0,17.3,7.4,16.2,15989.0,0.0,4688.3,2005.4,4390.2,149,149,19297
365,98648,2521,49.9,7.1,18.0,1.8,23.3,125797.9,17899.1,45378.0,4537.8,58739.3,1288,1288,49894
366,98649,906,61.7,3.1,15.6,3.9,15.8,55900.2,2808.6,14133.6,3533.4,14314.8,388,388,56944
367,98650,769,70.5,5.5,16.3,0.0,7.8,54214.5,4229.5,12534.7,0.0,5998.2,342,342,62381
368,98651,716,76.4,8.1,6.1,0.0,9.4,54702.4,5799.6,4367.6,0.0,6730.4,367,367,66250
369,98660,10450,38.0,4.0,17.7,3.1,37.1,397100.0,41800.0,184965.0,32395.0,387695.0,5417,5417,48032
370,98661,36670,43.5,4.1,16.1,2.8,33.5,1595145.0,150347.0,590387.0,102676.0,1228445.0,18099,18099,48354
371,98662,25871,50.1,7.1,12.4,2.3,28.2,1296137.1,183684.1,320800.4,59503.3,729562.2,12258,12258,58713
372,98663,11333,41.5,5.5,19.7,2.6,30.7,470319.5,62331.5,223260.1,29465.8,347923.1,5902,5902,54943
373,98664,17935,46.7,6.8,15.5,2.1,29.0,837564.5,121958.0,277992.5,37663.5,520115.0,8836,8836,57330
374,98665,21605,51.4,3.6,13.2,2.4,29.3,1110497.0,77778.0,285186.0,51852.0,633026.5,9809,9809,59891
375,98670,37,83.8,16.2,0.0,0.0,0.0,3100.6,599.4,0.0,0.0,0.0,22,22,31250
376,98671,18435,57.5,4.5,12.7,0.8,24.5,1060012.5,82957.5,234124.5,14748.0,451657.5,8469,8469,78307
377,98672,5349,59.9,4.9,12.4,0.1,22.6,320405.1,26210.1,66327.6,534.9,120887.4,2558,2558,60981
378,98673,457,42.5,5.7,14.9,2.2,34.8,19422.5,2604.9,6809.3,1005.4,15903.6,201,201,36250
379,98674,9948,53.9,5.3,13.7,2.5,24.6,536197.2,52724.4,136287.6,24870.0,244720.8,4384,4384,67929
380,98675,5145,56.2,1.8,11.9,1.4,28.8,289149.0,9261.0,61225.5,7203.0,148176.0,1949,1949,70015
381,98682,43597,52.8,4.4,11.8,1.9,29.0,2301921.6,191826.8,514444.6,82834.3,1264313.0,18990,18990,67569
382,98683,27587,51.2,7.0,12.9,1.5,27.3,1412454.4,193109.0,355872.3,41380.5,753125.1,13704,13704,66733
383,98684,22368,52.1,5.2,10.4,2.9,29.4,1165372.8,116313.6,232627.2,64867.2,657619.2,10240,10240,63653
384,98685,22958,60.9,4.1,9.3,1.0,24.7,1398142.2,94127.8,213509.4,22958.0,567062.6,10297,10297,89463
