zipcode,Population,Married(%),Widowed(%),Divorced(%),Separated(%),Never_Married(%),Married,Widowed,Divorced,Separated,Never_Married,Number_Households,Percent_Distribution_Housesholds,Median_Income_Households
99170,820,50.7,10.6,15.9,0.4,22.4,415,86,130,3,183,433,433,43854
99171,829,60.8,7.6,12.4,0.6,18.6,504,63,102,4,154,480,480,47750
99173,1306,56.0,9.6,11.6,0.0,22.7,731,125,151,0,296,596,596,33239
99174,41,65.9,2.4,9.8,2.4,19.5,27,0,4,0,7,21,21,0
99176,158,70.9,1.9,13.9,0.0,13.3,112,3,21,0,21,85,85,63438
99179,409,67.7,4.4,7.3,1.0,19.6,276,17,29,4,80,202,202,83750
99180,953,61.8,3.0,12.6,0.9,21.6,588,28,120,8,205,468,468,42115
99181,1567,59.6,7.3,10.9,0.3,21.9,933,114,170,4,343,736,736,44318
99185,1099,57.1,11.0,9.9,1.7,20.3,627,120,108,18,223,548,548,45833
99201,11827,26.5,3.2,23.2,3.5,43.5,3134,378,2743,413,5144,6545,6545,26685
99202,17310,27.9,6.1,15.1,1.0,49.9,4829,1055,2613,173,8637,7055,7055,34240
99203,17142,59.9,5.4,11.7,0.4,22.7,10268,925,2005,68,3891,9155,9155,73363
99204,5442,32.2,3.3,22.6,1.9,39.9,1752,179,1229,103,2171,3531,3531,32483
99205,34609,41.7,6.1,17.6,2.1,32.5,14431,2111,6091,726,11247,17810,17810,46763
99206,29582,53.5,5.4,13.4,1.0,26.7,15826,1597,3963,295,7898,14872,14872,55632
99207,23336,36.0,5.3,17.6,2.1,39.0,8400,1236,4107,490,9101,12083,12083,35714
99208,42977,52.3,6.2,13.2,1.2,27.1,22476,2664,5672,515,11646,20925,20925,59375
99212,16441,50.9,5.4,14.7,0.5,28.5,8368,887,2416,82,4685,8432,8432,48600
99216,21208,48.8,8.3,14.2,1.9,26.8,10349,1760,3011,402,5683,10911,10911,44139
99217,14324,46.7,6.2,13.4,1.1,32.7,6689,888,1919,157,4683,6790,6790,47844
99218,13484,42.6,7.4,10.9,1.6,37.5,5744,997,1469,215,5056,6003,6003,45735
99223,25000,57.1,5.7,10.9,1.5,24.9,14275,1425,2725,375,6225,13024,13024,64966
99224,16804,58.8,3.5,10.6,1.0,26.0,9880,588,1781,168,4369,8304,8304,60825
99301,55238,50.4,3.5,9.9,2.3,33.9,27839,1933,5468,1270,18725,23066,23066,61029
99320,7668,58.0,5.1,12.2,2.7,22.1,4447,391,935,207,1694,3608,3608,59184
99321,205,33.7,22.4,0.0,0.0,43.9,69,45,0,0,89,76,76,0
99322,150,58.7,12.7,7.3,0.0,21.3,88,19,10,0,31,70,70,61250
99323,3092,60.3,4.0,8.9,0.7,26.1,1864,123,275,21,807,1366,1366,71907
99324,8129,47.1,5.4,14.8,2.1,30.6,3828,438,1203,170,2487,3967,3967,42708
99326,4838,38.0,2.5,14.9,3.4,41.1,1838,120,720,164,1988,1343,1343,56320
99328,3089,52.6,9.3,12.5,1.3,24.4,1624,287,386,40,753,1593,1593,46406
99329,158,48.1,3.8,27.8,0.0,20.3,75,6,43,0,32,87,87,46250
99330,916,55.9,7.0,6.1,1.4,29.6,512,64,55,12,271,360,360,48651
99333,42,61.9,0.0,19.0,0.0,19.0,25,0,7,0,7,22,22,0
99335,230,61.3,3.5,12.2,0.0,23.0,140,8,28,0,52,111,111,51750
99336,38462,44.1,6.7,13.4,2.7,33.2,16961,2576,5153,1038,12769,18408,18408,45263
99337,23871,58.0,7.2,9.8,1.7,23.4,13845,1718,2339,405,5585,10883,10883,71595
99338,11915,67.9,3.4,7.2,0.2,21.3,8090,405,857,23,2537,5371,5371,104630
99341,565,56.6,4.8,17.2,0.4,21.1,319,27,97,2,119,277,277,54306
99343,2192,53.8,0.2,5.0,2.0,39.1,1179,4,109,43,857,749,749,59968
99344,11996,52.4,3.6,7.0,2.2,34.9,6285,431,839,263,4186,4894,4894,49308
99345,118,49.2,2.5,15.3,1.7,31.4,58,2,18,2,37,52,52,56875
99346,398,45.2,10.6,10.8,3.3,30.2,179,42,42,13,120,204,204,61750
99347,1903,64.6,5.9,13.7,1.7,14.0,1229,112,260,32,266,1025,1025,52173
99348,895,54.3,4.2,10.2,3.0,28.3,485,37,91,26,253,428,428,41912
99349,6016,53.1,2.7,6.8,2.7,34.7,3194,162,409,162,2087,2074,2074,53975
99350,10650,54.4,6.1,8.0,1.7,29.8,5793,649,852,181,3173,5009,5009,56713
99352,24248,56.2,5.1,10.8,1.6,26.3,13627,1236,2618,387,6377,12153,12153,73901
99353,11723,60.9,2.4,10.7,1.1,25.0,7139,281,1254,128,2930,5260,5260,86651
99354,18353,51.2,6.3,12.6,0.8,29.1,9396,1156,2312,146,5340,9264,9264,66031
99356,162,60.5,5.6,14.2,0.0,19.8,98,9,23,0,32,72,72,50000
99357,3187,43.3,1.8,4.1,0.7,50.1,1379,57,130,22,1596,941,941,46938
99359,138,55.1,13.0,18.1,2.2,11.6,76,17,24,3,16,89,89,30750
99360,1200,61.8,2.3,7.3,0.3,28.3,741,27,87,3,339,483,483,82344
99361,1516,56.1,7.1,13.3,0.4,23.2,850,107,201,6,351,758,758,60588
99362,34110,46.5,5.4,11.3,2.2,34.6,15861,1841,3854,750,11802,15277,15277,52537
99363,160,70.6,0.0,9.4,0.0,20.0,112,0,15,0,32,64,64,0
99371,349,66.2,10.6,8.0,0.3,14.9,231,36,27,1,52,191,191,57917
99401,211,55.9,21.3,18.0,0.0,4.7,117,44,37,0,9,80,80,61538
99402,1418,63.1,4.4,14.9,0.8,16.8,894,62,211,11,238,693,693,55369
99403,16815,50.4,6.5,17.3,1.9,23.9,8474,1092,2908,319,4018,8488,8488,47023
